,constRevenue,backlog,rollingBacklog,rollingRevenue,constNW,rollingNW,lastMthRevenue,month,year,date,prediction,projections,Distribution Center,Government,Healthcare,Las Vegas,Other,St. Louis,US Postal Service,total,DoDPrediction,DCPrediction,HCPrediction,LVPrediction,STLPrediction,USPSPrediction,DCPct,DoDPct,HCPct,LVPct,STLPct,USPSPct,OTHPct,DC_BL,GOV_BL,HC_BL,LV_BL,STL_BL,USPS_BL,OldDC,OldDoD,OldHC,OldSTL,OldLV,OldUSPS
0,43187742.0,632802445.0,544519429.1666666,639811365.0,83395198.0,646230787.0,55002580.0,7,2024,2024-07-01,0.0,53405860.0,,,,,-611.6079234071043,,,630011028.37,0.0,0.0,0.0,0.0,0.0,0.0,0.08207834106299329,0.4775697974659885,0.011170127685236413,0.09645988126149094,0.13357636011186894,0.19914645891931246,-9.665068904831812e-07,0.0,0.0,0.0,0.0,0.0,0.0,51939374.90620606,302207335.4946323,7068484.110179792,84527447.27299114,61040048.70668115,126020366.11723298
1,44367213.0,657355069.0,552877931.4166666,618107138.0,68906757.0,718409164.0,43187742.0,8,2024,2024-08-01,0.0,46742436.0,,,,,-3936.6991182065794,,,655523431.5699999,0.0,0.0,0.0,0.0,0.0,0.0,0.06725364322128316,0.4524622297476603,0.017783977030506992,0.09338848775150582,0.12402412956510514,0.24509352137909576,-5.988695157086526e-06,0.0,0.0,0.0,0.0,0.0,0.0,44209523.280227974,297428340.2556671,11690387.44798334,81527890.24793462,61389395.809696764,161113468.65760848
2,46534029.0,633707898.0,566948173.4166666,597622132.0,22886858.0,766148436.0,44367213.0,9,2024,2024-09-01,0.0,41152724.0,,,,,-6295.427684327598,,,632592800.44,0.0,0.0,0.0,0.0,0.0,0.0,0.06895710272019989,0.45570809277229907,0.015308677783345274,0.0916220936116982,0.12791166068238347,0.2405023067037421,-9.934273668035614e-06,0.0,0.0,0.0,0.0,0.0,0.0,43698660.61698796,288785817.5723226,9701230.019243034,81058629.62072247,58061644.35302849,152408211.24537972
3,44686307.0,810491093.0,580366303.0,585890214.0,221469502.0,746894688.0,46534029.0,10,2024,2024-10-01,0.0,49843340.0,,,,,-65004.52696490676,,,809478087.53,0.0,0.0,0.0,0.0,0.0,0.0,0.06111312900507218,0.60097892323981,0.00886918346598718,0.06625825706247084,0.0952956852301961,0.1675650258722699,-8.02038758060809e-05,0.0,0.0,0.0,0.0,0.0,0.0,49531646.72397096,487088064.36659664,7188394.201365478,77236304.0804056,53701727.18683696,135809960.96778932
4,49738068.0,778345811.0,598930079.3333334,564324085.0,17592772.0,787076320.0,44686307.0,11,2024,2024-11-01,0.0,41618456.0,,,,,-4044.5867103420183,,,778348368.4799999,0.0,0.0,0.0,0.0,0.0,0.0,0.05011702307050232,0.6223683118729983,0.006807378295591748,0.06203656218139903,0.09626390754350929,0.16241201342384295,-5.196387843528869e-06,0.0,0.0,0.0,0.0,0.0,0.0,39008374.96671584,484417768.4454898,5298494.380266157,74926609.18698175,48285898.30273296,126412710.30452393
5,50187618.0,802611114.5999999,617502045.6666666,563219051.0,32748960.0,786069552.0,49738068.0,12,2024,2024-12-01,0.0,56043836.0,,,,,14071.531842869123,,,760907153.14,0.0,0.0,0.0,0.0,0.0,0.0,0.054253970697531934,0.625531752508608,0.009399910778186643,0.07678950927045558,0.10173850616404521,0.1322688183895708,1.7532191601759714e-05,0.0,0.0,0.0,0.0,0.0,0.0,43544839.89302184,502058737.0986252,7544472.866820934,81656455.83006328,61632113.62514738,106160423.75447838
6,0.0,752420866.5999999,642577082.0500001,560639150.0,0.0,819822530.0,50187618.0,1,2025,2025-01-01,50190248.0,0.0,70063701.38687523,490383437.332,7077995.56029397,60041765.59022075,0.0,78557519.97458816,77772685.77417886,874067645.85,11675299.766625147,3761376.056146609,466477.3065269648,2800421.0349266343,3098935.8554751235,28387737.980299518,0.10168221127046766,0.5207377241121571,0.003303831269479999,0.08172890003328111,0.08114225419135504,0.21140507912325904,0.0,30280237.55,0.0,0.0,1210073.0,0.0,0.0,,,,,,
7,0.0,726804653.1499999,663413884.0166668,566137377.0,0.0,774461945.0,50190248.0,2,2025,2025-02-01,57106524.0,0.0,63915870.99219841,478016829.3033581,6687116.653437608,56455187.69424472,0.0,73752995.40996702,47962581.56495113,765188948.7300001,12366608.028641919,6147830.39467682,390878.9068563614,3586577.89597603,4804524.564621141,29810104.209227733,0.0992140254717502,0.5672855037706079,0.0018702099427535725,0.08393523234568107,0.08501695311722879,0.16267807535197826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8,0.0,666956369.1499999,681942394.4458333,583756923.0,0.0,732891681.0,57106524.0,3,2025,2025-03-01,59848284.0,0.0,84806940.37624764,462381983.8709003,43703678.50904892,51528629.49050973,0.0,69611418.94545522,42227295.025995195,1011080479.6700001,15634845.432457818,10644105.465950767,1136924.1443886885,4926558.203734987,4341576.464511804,23164274.28895593,0.27346942604434904,0.41192728402385526,0.03640249489537452,0.05734643397420185,0.06044654380029902,0.1604078172619202,0.0,31535174.849999998,0.0,38153486.0,0.0,200000.0,17428987.75,,,,,,
9,0.0,694031065.7499999,693563309.125,598058432.0,0.0,664302041.0,59848284.0,4,2025,2025-04-01,60242952.0,0.0,73429551.13683398,446575779.03705686,45955218.23085,46523796.16365035,0.0,64839061.52715764,38278917.72260812,953951551.74,15806204.833843382,11631456.239413667,1806198.2781989155,5577424.326859381,4772357.418297584,20649310.903387073,0.2550886526953552,0.41873065115456715,0.054240949297289516,0.05453495320082993,0.0576988934601594,0.15970590019179878,0.0,254067.0,0.0,4057738.0,572591.0,0.0,16700933.600000001,,,,,,
10,0.0,658598083.3499999,699298196.6041666,608858092.0,0.0,517151726.0,60242952.0,5,2025,2025-05-01,57018312.0,0.0,61990980.653070465,433143486.8984621,52970264.09377874,47581387.16822012,0.0,58765774.11707946,25006075.48754606,961426965.8600001,19188176.63859474,11438570.483763516,1291273.4370712603,5754161.795430234,6073287.410078186,13272842.235062059,0.21635476619270283,0.45132799642441673,0.07544811207278196,0.07983860942712251,0.0505081620074625,0.12652235387551333,0.0,0.0,5755884.5,8306319.3,6811752.800000001,0.0,0.0,,,,,,
11,0.0,621809607.9499999,700559954.7166666,618109877.0,0.0,451140629.0,57018312.0,6,2025,2025-06-01,57662432.0,0.0,56561457.23833289,418076727.45546025,50964970.40199147,42992044.08078792,0.0,52713202.2320941,34836440.009490296,966649420.95,15066759.44300184,11029523.414737573,2005293.6917872666,4589343.087432197,6052571.884985355,18918940.478055768,0.1883948199141576,0.4250043543048377,0.06790955310921919,0.07005829708504312,0.043529606533718165,0.2051033690530242,0.0,5600000.0,0.0,0.0,0.0,0.0,28749305.0,,,,,,
12,0.0,596628372.9499999,702994506.3791666,620769729.0,0.0,447000047.0,57662432.0,7,2025,2025-07-01,59530540.0,0.0,48966232.94500579,400835968.92650133,48311858.24631929,38106439.64466266,0.0,51627114.159165785,16553632.496502072,892343313.9100001,17240758.52895891,11095224.293327099,2653112.1556721875,4885604.436125256,5373033.072928321,18282807.512988225,0.1993175552250942,0.42750683705854,0.06583969420084158,0.06489987841814096,0.05110075664734466,0.19133527845003853,0.0,3500000.0,0.0,0.0,0.0,4286945.0,0.0,,,,,,
13,0.0,545057065.9499999,699980000.3749999,637112527.0,0.0,363604849.0,59530540.0,8,2025,2025-08-01,59358252.0,0.0,38345138.24009527,378980263.60260385,44855727.470806845,38396342.37304843,0.0,46352080.88255004,64626901.849052496,888375683.58,21855705.32389748,10621094.70491052,3456130.7755124406,5523557.271614233,5275033.276615748,12626730.647449577,0.15602366713982452,0.39702785061455115,0.058374505953403925,0.06295166348389122,0.04220941523172977,0.2834128975765994,0.0,0.0,0.0,0.0,5813460.0,0.0,60700000.0,,,,,,
14,0.0,555633049.9499999,690621833.4541667,652103566.0,0.0,294698092.0,59358252.0,9,2025,2025-09-01,55937476.0,0.0,31103825.01551728,355521468.2987479,41456442.710902385,33349466.799284484,0.0,41225666.6379997,52962108.955705225,762868788.08,23458795.30385598,7241313.224577995,3399284.759904461,5046875.573763947,5126414.244550342,11664792.893347269,0.1327847783823307,0.42539777050882327,0.058942472221428205,0.061176518569410754,0.03853377955596382,0.2831646807620432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,0.0,499337165.9499999,684115596.1166666,661507013.0,0.0,271811234.0,55937476.0,10,2025,2025-10-01,56295884.0,0.0,24356677.888291787,331564524.58987004,38410502.420773536,28612377.73223938,0.0,37485686.49059843,40771498.89638381,673398948.5,23956943.70887787,6747147.127225492,3045940.2901288504,6034933.067045104,4320309.747401267,12190610.059321417,0.11921902705495536,0.4400593077700655,0.056537440672882196,0.0638206737710699,0.03612430900610472,0.2842392417249223,0.0,0.0,0.0,0.0,1297844.0,580329.6,0.0,,,,,,
16,0.0,445497591.54999995,658186102.1958333,673116590.0,0.0,50341732.0,56295884.0,11,2025,2025-11-01,55717748.0,0.0,19016984.806605488,305254742.72473496,34534655.292325936,22431880.889037848,0.0,34223915.170115195,30021341.135337576,586040591.11,26309781.8651351,5339693.081686297,3875847.128447599,6180496.843201534,3261771.320483236,10750157.761046233,0.10718130225592183,0.46125814368592366,0.058148733427244186,0.05853915489884674,0.030258735075692975,0.28461393065637064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
17,0.0,394327575.54999995,630448750.5749999,679096270.0,0.0,32748960.0,55717748.0,12,2025,2025-12-01,51170016.0,0.0,15685910.429310398,287015751.1370866,30473510.78793086,18104632.707658082,0.0,30933448.977667723,18562909.578503393,562124297.0,24701651.187648416,3331074.3772950904,4061144.5043950747,4327248.181379764,3290466.1924474714,11458431.556834182,0.08066404580266702,0.5465382175785937,0.05351624770633246,0.045608873014076456,0.020731715498147202,0.2529409004001832,0.0,0.0,6462659.600000001,0.0,0.0,0.0,0.0,,,,,,
