,constRevenue,backlog,rollingBacklog,rollingRevenue,constNW,rollingNW,lastMthRevenue,month,year,date,prediction,projections,bondPercent,unbondedPercent,bondedPrediction,unbondedPrediction
0,,752420866.5999999,642577082.0500001,560639150.0,0.0,819822530.0,50187618.0,1,2025,2025-01-01,50190248.0,,0.8267179255235717,0.17328207447642824,41493177.70807359,8697070.291926403
1,,726804653.1499999,663413884.0166668,566137377.0,0.0,774461945.0,50190248.0,2,2025,2025-02-01,57106524.0,,0.8220310671351756,0.1779689328648245,46943336.864100516,10163187.135899488
2,,666956369.1499999,681942394.4458333,583756923.0,0.0,732891681.0,57106524.0,3,2025,2025-03-01,59848284.0,,0.7644190063876829,0.235580993612317,45749165.78928786,14099118.210712133
3,,694031065.7499999,693563309.125,598058432.0,0.0,664302041.0,59848284.0,4,2025,2025-04-01,60242952.0,,0.7284945214997897,0.2715054785002103,43886660.4909748,16356291.5090252
4,,658598083.3499999,699298196.6041666,608858092.0,0.0,517151726.0,60242952.0,5,2025,2025-05-01,57018312.0,,0.7443455597148573,0.25565444028514267,42441327.35963637,14576984.640363634
5,,621809607.9499999,700559954.7166666,618109877.0,0.0,451140629.0,57018312.0,6,2025,2025-06-01,57662432.0,,0.7701231302441358,0.22987686975586416,44407172.62932962,13255259.370670374
6,,596628372.9499999,702994506.3791666,620769729.0,0.0,447000047.0,57662432.0,7,2025,2025-07-01,59530540.0,,0.7937838872233208,0.2062161127766792,47254383.44970339,12276156.550296612
7,,545057065.9499999,699980000.3749999,637112527.0,0.0,363604849.0,59530540.0,8,2025,2025-08-01,59358252.0,,0.7758314796139097,0.22416852038609036,46052000.476455316,13306251.52354469
8,,555633049.9499999,690621833.4541667,652103566.0,0.0,294698092.0,59358252.0,9,2025,2025-09-01,55937476.0,,0.833595526598574,0.16640447340142597,46629229.762815095,9308246.237184905
9,,499337165.9499999,684115596.1166666,661507013.0,0.0,271811234.0,55937476.0,10,2025,2025-10-01,56295884.0,,0.8294117773235705,0.17058822267642954,46692469.204441555,9603414.795558447
10,,445497591.54999995,658186102.1958333,673116590.0,0.0,50341732.0,56295884.0,11,2025,2025-11-01,55717748.0,,0.9298071818540409,0.07019281814595915,51806762.24713362,3910985.7528663795
11,,394327575.54999995,630448750.5749999,679096270.0,0.0,32748960.0,55717748.0,12,2025,2025-12-01,51170016.0,,0.9208477322098457,0.07915226779015426,47119793.190741524,4050222.809258478
